,Published Date,Story Name,Story,Author
0,2021-05-04T19:00:07+0000,Still Cooking Side by Side,"I fry cutlets for chicken parmigiana, doing math: In my 53 years, I have fried thousands. My mother taught me. When I was 7, we would fry chicken side by side, her hip touching mine. “Cover yourself,” she would say. “You’ll get hurt and dirty that shirt.” As a teenager, I’d snap, “Ma, I hate when you use ‘dirty’ as a verb.” But, no matter the age, I would listen and grab an apron. More math: It’s been over two decades without her. But still, like magic, she reminds me to separate the cutlets and back away from the flame. — Kathy Curto",Kathy Curto
1,2021-05-04T19:00:07+0000,"A Silent, Shared Language","My abuela raised me, her first grandson, in Santiago in the 1970s, while my parents worked to support us. Then, when I was 6, we moved to Melbourne. I missed my abuela. When I was 15, she visited us in our new country, where she didn’t speak the language but still bargained at the market. At 24 and beginning law school, I returned to Santiago. My abuela cooked me lunch every day. A practicing lawyer at 40, I returned in time to say goodbye at her bedside. My family doesn’t say “I love you,” yet by my being there, I think she knew. — Miguel Belmar Salas",Miguel Belmar Salas
2,2021-05-04T19:00:07+0000,Miraculous in the Mundane,"My husband and I were 30 with three children under the age of 6 when we adopted a 16-year-old from foster care. Days were spent trying to be cool and strict and look like we knew what we were doing. Sleepless nights were spent recounting the day’s failures. But every morning we got up and did it again. Made mistakes. Laughed. Cried. Argued. Apologized. Prayed. Reminded Brandan to wear his retainer. Cheered for him at football games. Cut his hair in the garage. And, somewhere in the mundane, I became Brandan’s mother. And Brandan became my son. — Denise Kendrick",Denise Kendrick
3,2021-05-04T19:00:07+0000,Treasure Hunt,"In my 40s, I spent summers with my widowed mother in England. Before returning to New York, I would write playful notes and hide them around her house. Under the silver candlestick, she discovered: “The butcher, the baker and the candlestick maker — and your daughter — love you.” For weeks after I left, she would call and laugh. “I found another one of your little notes!” Cleaning out her house after she died, I found a box in her bedroom. Inside was every note I’d given her, organized by year — a gift she gave back to me. — Jennifer Fell Hayes",Jennifer Fell Hayes
4,2021-04-27T19:19:54+0000,Tito’s Trust,"Tito asked me to marry him, but not for the happily ever after. He had AIDS — a death sentence in the early 1980s. He wanted his property to go to his partner, Michael, but his father disapproved. After Tito’s death, I was to wait a few years, then sign everything over to Michael. I was honored by Tito’s trust and might have said yes, but his father relented, allowing Michael to inherit Tito’s assets, though he would not be invited to the funeral. Forty years later, I miss my friend. Would he be married to Michael if he were alive? — Lynn Tamayo",Lynn Tamayo
5,2021-04-27T19:19:54+0000,Maybe More Than Slightly,"“Why can’t you find someone?” my parents asked when I was 26. “He’s not here yet,” I said. “He’s in Africa.” (I’ve always been slightly psychic; my parents have always been slightly skeptical.) As the “Dating Diva” at Manhattan’s Learning Annex, I felt confident in my ability to help myself and others “find a mate or just a date.” In my 40s, I still felt confident but relied less on my “dating tricks.” One rainy night, I bumped into a tall man who rolled his R’s. Today, my South African husband says he loves me and our daughter in Afrikaans. — Estelle Erasmus",Estelle Erasmus
6,2021-04-27T19:19:54+0000,What Might Have Been,"We started dating a few months before the pandemic. She lived in New Jersey while I lived in New York, and she drove a dusty compact car. The back seat was like an Army surplus store: blankets, picnic chairs, snacks, water. She was a civil engineer and liked to be prepared. The first time we kissed was in her car, contorted across the front seats. I remember the scent of her shampoo, and the weight of everything behind us and the year ahead. The last message I received from her was: “The pressure is too high, I can’t. I’m sorry.” — Rahul D’Silva",Rahul D’Silva
7,2021-04-20T19:03:49+0000,What I Want to Remember,"I started cleaning our apartment so I could take photos to remember it by. My husband was retiring, and we were moving from New York — leaving the place where two lonesome apartments combined into this one; where two single people combined as a pair; where I, at 63, had lived longest. What I really wanted was to remember our home in all its chaotic glory: open sardine tins, piles of papers and books. So I stopped tidying. You’d think this mess was caused by moving, but really it was created because we were living. — Jill Lipton",Jill Lipton
8,2021-04-20T19:03:49+0000,Blooming Still,"Unlike the other trees Nanima planted at our home in Pakistan, I dislike this mango tree. Mango trees mean mango bugs. Three years ago, one of the mango tree’s branches touched my bedroom balcony, allowing bugs to infest my space. “Those bugs, they petrify me!” I said. (Although an adult, I was a baby in front of Nanima.) The next morning, she cut her beloved tree’s branch. Only a grandmother can love like that. This is my first spring without her. The tree will blossom, the bugs will come, but I won’t have Nanima to hear and appease my fears. — Rasti Iqbal Jamil",Rasti Iqbal Jamil
9,2021-04-20T19:03:49+0000,My Only Lasting Satisfaction,"After four years of texting, we were finally going to meet. My father had died. On my way to my family in Venezuela, I stopped in Colombia, where my online lover lived. He had me at my most vulnerable. For three days, we loved intensely, making promises about marriage, dreaming of canary-yellow diamond rings. I left for work. Our dreams sustained me. Then we broke, and I broke too. My only satisfaction is the Pablo Neruda poem I left in his room. It reads: “Cuantas veces, amor, te soñé sin verte?” How many times, love, did I dream of you without seeing you? — Sebastian Cabrices",Sebastian Cabrices
